,Open,High,Low,Close,Volume
2026-02-02 11:30:00,1059.5,1059.5,1057.5,1057.5,0
2026-02-02 11:31:00,1057.5,1057.5,1053.0,1053.0,0
2026-02-02 11:32:00,1053.0,1053.0,1053.0,1053.0,0
2026-02-02 11:33:00,1053.0,1054.5,1053.0,1054.5,0
2026-02-02 11:34:00,1054.5,1054.5,1053.0,1053.0,0
2026-02-02 11:35:00,1053.0,1053.0,1053.0,1053.0,0
2026-02-02 11:36:00,1053.0,1053.0,1052.0,1052.0,0
2026-02-02 11:37:00,1052.0,1052.19,1052.0,1052.19,0
2026-02-02 11:38:00,1052.19,1052.19,1050.2,1050.2,0
2026-02-02 11:39:00,1050.2,1050.2,1050.0,1050.0,0
2026-02-02 11:40:00,1050.0,1050.0,1049.0,1049.0,0
2026-02-02 11:41:00,1049.0,1049.0,1047.99,1047.99,0
2026-02-02 11:42:00,1047.99,1049.0,1047.99,1049.0,0
2026-02-02 11:43:00,1049.0,1049.0,1049.0,1049.0,0
2026-02-02 11:44:00,1049.0,1052.0,1049.0,1052.0,0
2026-02-02 11:45:00,1052.0,1052.0,1051.0,1051.0,0
2026-02-02 11:46:00,1051.0,1051.99,1051.0,1051.99,0
2026-02-02 11:47:00,1051.99,1051.99,1051.99,1051.99,0
2026-02-02 11:48:00,1051.99,1052.2,1051.99,1052.2,0
2026-02-02 11:49:00,1052.2,1054.0,1052.2,1054.0,0
2026-02-02 11:50:00,1054.0,1054.0,1054.0,1054.0,0
2026-02-02 11:51:00,1054.0,1058.7,1054.0,1058.7,0
2026-02-02 11:52:00,1058.7,1058.7,1058.0,1058.0,0
2026-02-02 11:53:00,1058.0,1058.0,1057.0,1057.0,0
2026-02-02 11:54:00,1057.0,1057.0,1054.0,1054.0,0
2026-02-02 11:55:00,1054.0,1054.0,1051.3,1051.3,0
2026-02-02 11:56:00,1051.3,1051.3,1051.3,1051.3,0
2026-02-02 11:57:00,1051.3,1051.3,1050.5,1050.5,0
2026-02-02 11:58:00,1050.5,1050.5,1048.0,1048.0,0
2026-02-02 11:59:00,1048.0,1048.0,1047.5,1047.5,0
2026-02-02 12:00:00,1047.5,1050.0,1047.5,1050.0,0
2026-02-02 12:01:00,1050.0,1050.0,1048.0,1048.0,0
2026-02-02 12:02:00,1048.0,1048.0,1044.99,1044.99,0
2026-02-02 12:03:00,1044.99,1044.99,1042.0,1042.0,0
2026-02-02 12:04:00,1042.0,1044.0,1042.0,1044.0,0
2026-02-02 12:05:00,1044.0,1050.0,1044.0,1050.0,0
2026-02-02 12:06:00,1050.0,1050.0,1045.0,1045.0,0
2026-02-02 12:07:00,1045.0,1045.0,1045.0,1045.0,0
2026-02-02 12:08:00,1045.0,1048.9,1045.0,1048.9,0
2026-02-02 12:09:00,1048.9,1049.98,1048.9,1049.98,0
2026-02-02 12:10:00,1049.98,1049.98,1049.9,1049.9,0
2026-02-02 12:11:00,1049.9,1050.9,1049.9,1050.9,0
2026-02-02 12:12:00,1050.9,1050.9,1044.5,1044.5,0
2026-02-02 12:13:00,1044.5,1048.9,1044.5,1048.9,0
2026-02-02 12:14:00,1048.9,1050.9,1048.9,1050.9,0
2026-02-02 12:15:00,1050.9,1053.79,1050.9,1053.79,0
2026-02-02 12:16:00,1053.79,1053.79,1053.79,1053.79,0
2026-02-02 12:17:00,1053.79,1053.79,1053.79,1053.79,0
2026-02-02 12:18:00,1053.79,1053.79,1053.6,1053.6,0
2026-02-02 12:19:00,1053.6,1054.0,1053.6,1054.0,0
2026-02-02 12:20:00,1054.0,1058.0,1054.0,1058.0,0
2026-02-02 12:21:00,1058.0,1058.0,1056.0,1056.0,0
2026-02-02 12:22:00,1056.0,1056.0,1056.0,1056.0,0
2026-02-02 12:23:00,1056.0,1056.0,1056.0,1056.0,0
2026-02-02 12:24:00,1056.0,1056.0,1056.0,1056.0,0
2026-02-02 12:25:00,1056.0,1056.0,1055.99,1055.99,0
2026-02-02 12:26:00,1055.99,1057.0,1055.99,1057.0,0
2026-02-02 12:27:00,1057.0,1057.0,1055.0,1055.0,0
2026-02-02 12:28:00,1055.0,1055.99,1055.0,1055.99,0
2026-02-02 12:29:00,1055.99,1055.99,1053.0,1053.0,0
2026-02-02 12:30:00,1053.0,1055.0,1053.0,1055.0,0
2026-02-02 12:31:00,1055.0,1055.0,1054.0,1054.0,0
2026-02-02 12:32:00,1054.0,1056.0,1054.0,1056.0,0
2026-02-02 12:33:00,1056.0,1057.75,1056.0,1057.75,0
2026-02-02 12:34:00,1057.75,1057.75,1056.0,1056.0,0
2026-02-02 12:35:00,1056.0,1056.0,1056.0,1056.0,0
2026-02-02 12:36:00,1056.0,1057.0,1056.0,1057.0,0
2026-02-02 12:37:00,1057.0,1057.0,1057.0,1057.0,0
2026-02-02 12:38:00,1057.0,1057.0,1056.0,1056.0,0
2026-02-02 12:39:00,1056.0,1056.0,1053.0,1053.0,0
2026-02-02 12:40:00,1053.0,1055.9,1053.0,1055.9,0
2026-02-02 12:41:00,1055.9,1055.9,1055.9,1055.9,0
2026-02-02 12:42:00,1055.9,1055.9,1055.9,1055.9,0
2026-02-02 12:43:00,1055.9,1055.9,1055.0,1055.0,0
2026-02-02 12:44:00,1055.0,1055.9,1055.0,1055.9,0
2026-02-02 12:45:00,1055.9,1055.9,1053.5,1053.5,0
2026-02-02 12:46:00,1053.5,1057.0,1053.5,1057.0,0
2026-02-02 12:47:00,1057.0,1057.0,1057.0,1057.0,0
2026-02-02 12:48:00,1057.0,1058.88,1057.0,1058.88,0
2026-02-02 12:49:00,1058.88,1058.88,1058.88,1058.88,0
2026-02-02 12:50:00,1058.88,1058.88,1057.1,1057.1,0
2026-02-02 12:51:00,1057.1,1057.1,1056.0,1056.0,0
2026-02-02 12:52:00,1056.0,1056.88,1056.0,1056.88,0
2026-02-02 12:53:00,1056.88,1056.88,1055.9,1055.9,0
2026-02-02 12:54:00,1055.9,1056.8,1055.9,1056.8,0
2026-02-02 12:55:00,1056.8,1056.8,1056.8,1056.8,0
2026-02-02 12:56:00,1056.8,1056.8,1055.9,1055.9,0
2026-02-02 12:57:00,1055.9,1056.8,1055.9,1056.8,0
2026-02-02 12:58:00,1056.8,1056.8,1056.8,1056.8,0
2026-02-02 12:59:00,1056.8,1056.8,1056.8,1056.8,0
2026-02-02 13:00:00,1056.8,1056.8,1054.0,1054.0,0
2026-02-02 13:01:00,1054.0,1054.0,1053.5,1053.5,0
2026-02-02 13:02:00,1053.5,1053.5,1053.12,1053.12,0
2026-02-02 13:03:00,1053.12,1053.12,1053.0,1053.0,0
2026-02-02 13:04:00,1053.0,1053.89,1053.0,1053.89,0
2026-02-02 13:05:00,1053.89,1054.0,1053.89,1054.0,0
2026-02-02 13:06:00,1054.0,1054.0,1053.3,1053.3,0
2026-02-02 13:07:00,1053.3,1053.3,1053.0,1053.0,0
2026-02-02 13:08:00,1053.0,1053.0,1052.99,1052.99,0
2026-02-02 13:09:00,1052.99,1052.99,1050.19,1050.19,0
2026-02-02 13:10:00,1050.19,1051.02,1050.19,1051.02,0
2026-02-02 13:11:00,1051.02,1051.99,1051.02,1051.99,0
2026-02-02 13:12:00,1051.99,1051.99,1050.0,1050.0,0
2026-02-02 13:13:00,1050.0,1050.0,1049.0,1049.0,0
2026-02-02 13:14:00,1049.0,1049.35,1049.0,1049.35,0
2026-02-02 13:15:00,1049.35,1049.35,1049.35,1049.35,0
2026-02-02 13:16:00,1049.35,1050.2,1049.35,1050.2,0
2026-02-02 13:17:00,1050.2,1050.2,1050.2,1050.2,0
2026-02-02 13:18:00,1050.2,1050.2,1050.2,1050.2,0
2026-02-02 13:19:00,1050.2,1050.36,1050.2,1050.36,0
2026-02-02 13:20:00,1050.36,1050.36,1049.0,1049.0,0
2026-02-02 13:21:00,1049.0,1049.0,1045.1,1045.1,0
2026-02-02 13:22:00,1045.1,1048.5,1045.1,1048.5,0
2026-02-02 13:23:00,1048.5,1048.99,1048.5,1048.99,0
2026-02-02 13:24:00,1048.99,1049.0,1048.99,1049.0,0
2026-02-02 13:25:00,1049.0,1050.3,1049.0,1050.3,0
2026-02-02 13:26:00,1050.3,1050.3,1050.0,1050.0,0
2026-02-02 13:27:00,1050.0,1050.0,1048.99,1048.99,0
2026-02-02 13:28:00,1048.99,1048.99,1048.5,1048.5,0
2026-02-02 13:29:00,1048.5,1048.99,1048.5,1048.99,0
2026-02-02 13:30:00,1048.99,1048.99,1044.3,1044.3,0
2026-02-02 13:31:00,1044.3,1044.3,1042.0,1042.0,0
2026-02-02 13:32:00,1042.0,1042.5,1042.0,1042.5,0
2026-02-02 13:33:00,1042.5,1042.5,1042.0,1042.0,0
2026-02-02 13:34:00,1042.0,1042.5,1042.0,1042.5,0
2026-02-02 13:35:00,1042.5,1042.5,1042.0,1042.0,0
2026-02-02 13:36:00,1042.0,1042.0,1042.0,1042.0,0
2026-02-02 13:37:00,1042.0,1042.0,1039.0,1039.0,0
2026-02-02 13:38:00,1039.0,1040.0,1039.0,1040.0,0
2026-02-02 13:39:00,1040.0,1040.0,1040.0,1040.0,0
2026-02-02 13:40:00,1040.0,1040.0,1038.0,1038.0,0
2026-02-02 13:41:00,1038.0,1038.0,1035.0,1035.0,0
2026-02-02 13:42:00,1035.0,1038.8,1035.0,1038.8,0
2026-02-02 13:43:00,1038.8,1038.8,1032.0,1032.0,0
2026-02-02 13:44:00,1032.0,1032.0,1029.0,1029.0,0
2026-02-02 13:45:00,1029.0,1029.0,1027.0,1027.0,0
2026-02-02 13:46:00,1027.0,1027.0,1027.0,1027.0,0
2026-02-02 13:47:00,1027.0,1027.0,1027.0,1027.0,0
2026-02-02 13:48:00,1027.0,1027.0,1025.0,1025.0,0
2026-02-02 13:49:00,1025.0,1025.0,1019.99,1019.99,0
